,comment
318,"Меня ещё в первой части бомбило из-за смены характера гг, когда он перевоплощался. Как будто бы его подменяли..."
319,Обзор как всегда Топовый! Их фильмами можно лечить психов))
320,Чувак. Это твоя лучшая работа. Вот что называется оторвался по полной
321,"Тот момент, когда грехо-обзор интереснее самого фильма"
322,"KINOKOS - умник, миляга, сангвиник, дальтоник, безвременнопочивший
Будем надеяться, что прошивка Омского Котакбаса выдержит больше KINOKOSовской"
323,"16:45 ВОТ ЭТО ПОВОРОТ!!! 
Спасибо за очередную дозу Кинокостинола!"
324,"Даже такой стёбный обзор досмотреть было ну очень сложно, прямо через силу. Как же люди на это в кино ходили?"
325,Чудо-женщина пришла похороны увы не того самого Билли
326,Это лучший обзор от кинокоса имхо. Я давно так не ржал
327,Обзор получился огонь просто! 
328,Зарядиться хорошим настроением от обзора перед сном
329,Спасибо за обзор. Отлично поржал 
330,"Безмерная сила таланта,стареешь,но планка юмора и опыта в отличии от Твоей только выше) Респект."
331,"Госпадеее
За вступительную песню отдельное спасибо"
332,Костя спасибо тебе! Засыпаю постоянно на половине ролика
333,"Не грози южному океану, попивая сок у себя на суше. Это самое лучшее название этого фильма"
334,"Браво маэстро, надеюсь это начало нового поколения кино грехов!!!"
335,"Сюжет вставок кинокоса лучше, чем у второго шазама)"
336,"Если снимут фильм ""пацаны против шазама"" я б дом продал что бы посмотреть на это в кинотеатре!"
337,"Подпись ""Для друга"" - просто шикарно))"
338,2:27 столько лет искал название этого видео спасибо автор аж детство вспомнил
339,"Семья, самая важная часть франшизы. Ждём ещё и Доминика в трилогии "
340,"9:52 почему я всегда угораю со слова - ""Переигрываешь""
11:26 
13:49 красавец)
16:47 вот это поворот"
341,Про Билли Бутчера прям огонь! )
342,"Ещё не смотрел фильм, но уже смотрю грехо обзор"
343,У вас шикарный музыкальный вкус! Песенки обзоров обалденны.
344,"Спасибо, ты сделал мой день!"
345,"Что может быть лучше, лёжа в больнице со сломанной ногой лежать и смотреть любимого грехо обзорщика.

10 операция, вот сижу кайфую пока могу "
346,До слёз !Просто супер а не обзор !угорал от души !
347,"""день студента"" от отрывка аж олдскулы свело"
348,"Когда обзор смотреть интереснее, чем фильм "
349,"Ждем новый сезон Пацанов. Кинокос, подтверди лайком"
350,"Силён не тот кто обладает неизмеримыми грехами, а тот кто эти неизмеримые грехи измеряет!"
351,Как всегда высший пилотаж
352,"Спасибо, за вставку с титрами «для друга»  браво, это гениально "
353,"Опоссумов не трож!!!проорал в голос)Красава,спасибо за видео"
354,"Кинокос, Низкий поклон тебе, что спас много народа от просмотра этих фекалий!!!"
355,Хахахаха обзор просто бомба! С перезагрузки системы орнул в голосину)
356,Кинокос спасибо тебе за то что смотришь это за нас
357,"Даже на грехо-обзоре мозг вскипел. Этой троице то 2, то 5, а то и более 6 тысяч лет"
358,"Обожаю тебя, продолжай в том же духе!"
359,БравоЯ поржал от души
360,"Прошу добавить в список.  Воровка кошек, когда спасала девиц не вытащила их из машины, а просто на сверхзвуковой скорости толкнула назад. Вопрос, как быстро они умерли от удара о торпеду?!"
361,"26:41 Вот даааа, на кроссовер ""Пацанов"" со всей этой жизобратией я с удовольствием глянул бы!"
362,"Кто-нибудь при просмотре данного фильма заметил, как в моменте, когда Си Цзиньпин'иха сажала яблоко в поле, то нарисованная за 13 рублей земля, осыпавшаяся с её руки, прошла сквозь текстурку поля?"
363,"Ахахаха) ""Бэдкамедиан возьмёт взятку от минкульта"" Ваще порвало наглухо))))"
364,"Ништяк, порция годного контента"
365,Шутка про бэдкомедиана это нечто гениальное
366,"Отличный обзор, делай ещё"
367,"третью часть надо было бы делать исходя из того, что Билли после воскрешения стал темной сущностью как в ""Кладбище домашних животных"" и перевести подростковую героику в хоррор с черным юмором, это был бы разрыв на стримах"
368,"дай бог здоровья за подсказки для друга,низкий поклон и всех благ))я десятилетями это искал"
369,"Надо на DC и Marvel подать в нужный суд за то,что держат своих зрителей за одноклеточных и уничтожают жанр супергероики шутки в обзоре на высоте: « дед русалки»
спасибо "
370,"Эххх, Люси Лью...
Помню, как увидел ее впервые в фильме Шанхайский Полдень 
Красотка 
Ну и самая младшая из сестер так то очень красивая "
371,Лига Аманды поехала на ферму к Супермену гладить его кукурузу!  Смеялась минут 20!
372,"Спасибо в очередной раз , что мне не пришлось смотреть это говно самому. Не могу представить каких страданий стоило посмотреть это  несколько раз... Держись там..."
373,"За такой уровень актерской игры желаю Ливаю, чтобы его даже в фильмы Невского не брали"
374,Давно я так не орала
375,2:26 - моя повышенная доля уважения 
376,Спасибо за выпуски!
377,"воот, воот !! старый, добрый Кинокос!))) с нарезками и матами  вот теперь , заслуженный лайк , Кость !))  вот такое надо зрителю "
378,Гениальная концовка
379,"Костя, отлично!!!! Крутой обзор!!! Ты сам себя подставил, теперь нельзя занижать планку!"
380,"*Войско железных солдат""
Как же я скучал по этому"
381,Ого)))  я снова удивлён! Что не обзор- то сюрприз . Перчатка заговорила
382,- Вот этот шляпный базар для чего нам сейчас 
383,"Крутой обзор, давно тебя смотрю. Красавчик"
384,"Спасибо за старый формат..,а то недавно глянул.. честно не помню,что..и комедия какая-то...а, счета ляпов нет.спасибо за проделанную работу."
385,"Я классом ходил На Фильм Гнев богов Шазам, там в конце Весь класс орнул на весь зал,а я упал с кресла."
386,"Супергерои, которых мы заслужили."
387,"Привет, всем ! 
Это похоже ещё один экземпляр дикой трешатины, которую снимали сотрудники психушки Пескадеро по выходным.
Им с написанием сценария, наверно авторы третьего муравья помогали, - очень на то походит."
388,"-Что вы, сволочи, тут курите?
-Все что можем, но не суть."
389,Обожаю этот визг Яйцаааа
390,Я так и знал что за кинокоса обзоры делает искусственный интеллект.
391,"Ой Кинокосыч, спасибо огромное за «Бэдкомедиан возьмет взятку от Минкульта»"
392,"Сделай пожалуйста грехо-обзор на серию фильмов Неоспоримый, очень крутые и интересные фильмы про одного заключенного который бился за свободу в тюремных боях)))!!!"
393,"Константин, готов стать спонсором, чтоб увидеть, как Вы разносите в пух и прах трилогию Гоголя, очень интересна Ваша реакция на эту вакханалию"
394,"16:30 Вот и помер дед Костян. Дата смерти: 05.05.2023. Покойся с миром, дружище."
395,"Точно! Надо "" Пацанов"" пересмотреть! ))"
396,Я не думал что ты этот ужас стороной обойдёшь дочке респект
397,"Проорал с момента со Скитлсом и единорогом, лол, реально, как же это кринжово выглядело"
398,"Недавно смотрел Пацанов . Да , им определенно нужно занести за этих существ ."
399,"Вставка Л. Джексона с ДиКаприо - это просто шедевр! Ливай, ливай со своими предъявами фанатам Снайдера)"
400,Обзор ТОП Я АПЛОДИРУЮ ️
401,"Костя, в следующий раз когда будешь уподреблять слово ""сёстры"", поставь фрагмент где Мурад говорит ""примеры сёстрам продаёшь"". Будет бомба"
402,Вставки из сериала Пацаны просто топчик)))))
403,Спасибо за обзор
404,Тот момент когда Чёрный Адам на фоне вот этого выглядит (шедевром)
405,"А почему тогда лысый из 1 части не использовал посох, чтобы превратить шазама обратно в пацана, взять в плен и силой заставить передать силу? Ещё больше абсурда во второй части, если лысый знал, что можно получить силу шазама, то почему злодейки не забрали силу у  инвалида? "
406,Аманда Уоллер и Афро-Мерлин умеют подбирать нужных людей. Им нужно открыть свое агентство по поиску кадров.
407,2:26. Спасибо что оставил название! Если честно это лучшее отечественное видео подобного рода которое я когда либо видел.
408,"У меня после твоего слова ""к примеру"" и когда ломается посох, появилась реклама "
409,"Ой спасибо ! 
Я кайфанул со слезами "
410,"Костя, огромная благодарность за проделанную работу! Часто смотрю твои обзоры, но этот досмотрел кое-как. Знаешь, почему? Потому что сценарий фильма просто невыносим, фильм — полнейшее говнище, рад, что не пошёл в кино на это."
411,"Ох, вставка из ""Мегамозга""!! Бомба"
412,"Фильм не смотрел, но с удовольствием посмотрел обзор, надо посмотреть 65 и Кокаинового, так сказать подготовиться!!! 
Обзор ТОП, впрочем как и всегда!"
413,Си дзень Пиниха- это шедевр!
414,"25:06 купол не самоуничтожился, а исчез из за смерти матери Стейтема. Она говорила: «Купол пропадет тогда, когда я уму» или чот типа того"
415,"За КИНОНАТОРА - Отдельный Респект 16:51 - Правда И Здесь ИИ Сбой Дал - Сразу Начал Блистать Своей Оригинальностью Сразу Переписав Самую Заразительную Вставку ""Войско Железных Солдат"" Оригинального КИНОКОСЫЧА: ""Поглотил Отсылку К Тони Старку Позабыв Про Плен И Сварку, Двух Злодеев и Живой Булат, Оставил Только От Фразы Обрывок: ""Солдат"", Зато Включил Две Фразы Со Словами: Водолаз и Лимонад"", Подтверждая Тем Самым Теорию, Что Все Разумные Существа Без Контроля Вселенского Администратора Становятся Гипертрофоидами С Манией Величия и Комплексом Майкла Бэя: ""Спецэффекты Я Включил, Про Диалоги Не Забыл - Вчера Под Текилу Сочинил И Актерский Весь Состав В Баре ""Голливуд"" На Студию Парамаунт Залил - К Съемкам Фильма Приступил ""Что- То Там И Что- То Где-то Происходит"" - Вот Уже И Сборы В СINEMA Проходят, Если На Сей Раз Не Прокатит и Фильм Не Отобьет Прокат - Я Так Вижу, И Не Парит.. Главное В Процессе Фильма В Объективе Каждому Кадру Картины - Я Был Очень... Очень Горд и Рад"""
416,"Бед, возьмёт взятку от Минкульта)))  зашла шутейка. Если Женя возьмёт взятку я останусь без фаланги мизинца. Женя тоже оценит шутку)))"
417,Чудо женщина обломала всё 
418,Поржал от души лайк бро 
419,"Весь канал держится на шутках про темнокожих
Минкульт одобряет"
420,И за гостей Никиты спасибо - давно искал.
421,За трек ST отдельное спасибо ) а так поржал от души хорошо что не смотрел эту дичь
422,Достойно. Одно из лучших.
423,Да этот обзор лучше самого фильма!
424,"великолепная песня в начале, одна из моих любимых"
425,"Надеюсь, что Ганн сделает dc снова великой"
426,"Ржу в голосину с фразы ""на дно"""
427,"За вставку на 2:27 респект !!! Кто знает, тот знает "
428,Батя разрулит))) с этого момента орнул че то в голосину ))))
429,"В обличии супергероев они дают интервью, их люди запоминают (обидные прозвища придумывали). Старшая дочь никак не меняется при превращении. Как её не узнавали родители и прочие люди?

У мамки стэтхэма была возможность сжать купол так, что люси лью с драконом там и спресуются нахрен. Ни билли, ни посох были не нужны."
430,"5:47 ""...И где ты так вымазался? Вали в баню - не возвращайся, пока не отмоешься!"""
431,Отсылка на Мегамозг просто шикарна)))
432,"Есть 2 категории видео вызывающие тёплые чувства ... это клипы с маленькими детьми, видео с животными.... кинокос ввёл 3 категорию.... вечеринка курских студентов))))))"
433,Перезагрузка Кинокоса шедевральна!))))
434,"Чтобы не говорил, а Рейчел огонь "
435,"На 27 минут, работа громенная. Сразу лайк."
436,Мда шазам первой части более серьезный чем детская вторая чясть шазама
437,Кинокос убил наповал давно так не смеяться
438,"В моем детстве документалки снимали с натуры: про доярок, про совхозы, про ученых.... А про Клёпу - это домыслы и фантазии))"
439,"Я понимаю тот прикол так: Билли как подросток, собственно, чувствует себя подростком и поэтому закрытый, а когда он взрослый всемогущий мужик ему срывает крышу)"
440,Дед русалки- просто в голосину проорал!!!
441,"ооо, ВойскА железных салдат (с) на месте - топово!
мне фильм понравился ЗА : 1) Драму с главным героем (p.s. не сморел трейлеры и не следил за DC ,только знаю про перезагрузку) 2) Эпичные сцены с драконом; 3) Появление Галь Гадот ; 4) Юмор (на мой взгляд он и в правду лучше , чем в первой части) 5) за Майку Малиновки и Летучей мыши (если вы понимаете о чём я) 6) Попытку сделать уклон во взрослость; 7) все сцены между Антеей и Фредди; 8) Сцена после титров, которая ни к чему не ведёт (просто обыгрывает гэг про ожидание злодеев в заточении)"
442,Спасибо вам за видеоАктёру Билли наверное очень стыдно за  большую версию себя)))
443,Вообще классный обзор
444,А я очень люблю сюжет в этом фильме! Он такой... Ээ.. Умм.. Да
445,я на просмотре думал что видос с грехами от кинокоса должен длится часа 2
446,Даже освободить Черного Адама было бы более здравой идеей чем выдавать силу этому пацану.
447,"И самый главный косяк обоих фильмов что шазам должен становиться мудрым и опытным бойцом, лучше бы они сделали раздвоение личности между формой героя и обычной"
448,"Только досмотрел твое предыдущее видео, а тут сразу новое"
449,"Думал на днях глянуть его,но наверно лучше обзорчик глянуть,что бы зря время не терять учитывая "" Шедевры"" выходящие в последнее время"
450,Спасибо Костя! Этот фильм а также последний Тор и Человек муравей: Квантоманья я смотрел только тут чтобы время и нервы поберечь!
451,"Не знаю  почему но мне пришел в голову такой вариант фразы

А мы зелёный,  орки одаренный. Вааагх! "
452,Можно вопрос: А что значит почерневная броня Шазама?
453,"С такими супергероями всё больше понимаешь Брюса Уэйна,  с его намерением привентивно убить супермена."
454,"Отсылка на перчатку персонажа из ""Атомного сердца""  Топ!)"
455,Долго я ждал войско железных солдат)
456,Посмотрел этот фильм минут пятнадцать. хватило поймать отходосы
457,Спасибо за предлы о 4к телеке Konka будем посмотреть))
458,Надо было вставку с мурадом поставить про сестёр
459,Пока мы тут сидим ХРАЗ уже канал кинокоса захватил
460,"Ндааа. Комедиан спекся, Циник пару раз в год рожает.
Один Кос радует безмерно!!!"
461,Ахахах прикол с включением системы Кинокоса как у Терминатора ТОП
462,"Спасибо!, хорошо, что не смотрел даже первую часть!"
463,"Сказ о том, как команда Шизоидов на Богов наехала и получила люлей "
464,"Ору с того что: BadComedian возьмёт взятку от минкульта Обожаю твои обзоры, продолжай в том же духе "
465,"Лично я этот Фильм умудрился пропустить, я слежу за всеми кинокомиксами, флэш, проекты марвел, даже синий жук, но шазам 2, я пропустил, я узнал о нем только из новостей о грандиозном провале и мне стало интересно, так ли все плохо, ибо первая часть мне так же не понравилась, я надеялся что вторая мне зайдёт, но, увы, так много  потерянного потенциала, можно было ведь сделать очень интересный, либо забавный семейный фильм, но получился парад кринжа который тяжело смотреть, единственный плюс это камео чудо женщины Галь Гадот, и наличие таких обзоров"
466,"Сделай, плиз, грехо-обзор на Кремень, Бригаду, Брат и т.д. Надо разнести их и показать зрителям, что бандитизм - это плохо."
467,KINOKOS  20:09 - побольше таких фразочек!!)))) Ваще заорал!))) XD
468,"Только за фразу ""а мы чёрные, люди одарённые"", готов купить печенег,а дальше сами знаете"
469,пожалуй лучший обзор!)
470,Люси Лью все ещё шикарна не смотря на возраст
471,"при фразе про закуску на студенческой гулянке, вставка из известной порнухи, оборжался )))"
472,Сбер разрабатывали звук в лаборатории)) сидел минуту улыбался)
473,Полностью согласен с Костяном: надо попросить Бутчера разобраться с этими школьниками
474,Качество растет прямо на глазах и вы заметили что кинокос показал свою дочь
475,Кинокос в роли Эксперта это самое лучшее 
476,Давай Шерлок Холмс (2009)
477,"Как же Билли бутчер в конце в тему, ор выше гор)"
478,Блять я сдох просто лучший обзор
479,"Боже, вот с момента когда единороги появились, я ваще при всех дома кричал «ЧЕ ЗА Е6АЛА……»"
480,Один из не многих каналов с которым согласны все)
481,Молодец хороший обзор
482,у кинокоса тоже есть ХРАЗ)
483,"влюбился по самые гениталии.всее,крылатая фраза!!!!"
484,"А ещё...никого не смущает когда на 12:25 забирают силу у героя,волшебным образом у него в руках оказывается костыль Как?Откуда?Или между булочек хранит,как Чудо женщина"
485,"В конце ролика где Де Ниро говорит ""Он страдает дебилизмом"" орнул в голос"
486,"Хороший и добрый фильм, нив лайв синема хорошая компания, всегда снимали хорошие фильмы"
487,"за ""один пальчик"" отдельный респект))) люблю свою"
488,"""Танцы изТик-Тока заменят в школе физкультуру""аааа..орнул ....пздц "
489,За билли бутчера в конце лайк )
490,в той нарезке про черных - ты забыл про черного ахиллеса )
491,"Ну вообще то они должны были быть похожие на жителей Сахары а именно жителей Атласовых гор,где Атлас держал небо.Жаль шо Билли не Хоумлендр и не свернул им шеи са секунду."
492,"Бомбануло у кинокоса 
Вообще ты прав мужик, нетфликс совсем ку-ку"
493,"Хорошо, что я ""это"" не смотрел, спасибо за грехо-обзор!"
494,"На момент 10:13 можно добавить момент с Мурадом: ""сёстрам задеваешь"""
495,"Если посохом можно отобрать силы, зачем надо было отправлять Адама в кому ?"
496,Кардиологи Москвы после этого фильма будут часто видеть у себя  кинокоса с инфактами.
497,Который раз к ужину новый выпуск
498,"Весь фильм болел за Богинь-Нагибаторов.

И вот, когда эти ничтожества, по недосмотру богов получившие свои силы (и по лору это почти буквально так и было) уже слили 4 пятых (или 5 шестых (или сколько там этих дегенератов)), и я уже ликовал ибо до победы Бобра над Ослом оставался маааалюсенький шаг (или укус - не ну реально, какого буя этот дракон так долго закрывает пасть, это какой-то дефект строения ротовой полости?!)..."
499,Дочка у вас молодец какая
500,"Все заметили Анабель Оригинальную и из фильма, когда Билли на приёме у доктора? )))"
501,6:12 шепоты конечно убили
502,Если Дэвид уверяет то это точно безопасно
503,"пожалуй чучший момент фильма, это когда Галь Гадот в конце уходит виляющей походкой ))))"
504,KINOKOS Обзор просто СУПЕР!!!!!! :D
505,"3 дня назад смотрел это чудо-юдо, ну что сказать, награду за самый кринжовый фильм 2023 года получает..... (барабанная дробь)..... ШАЗААААМ!!!"
506,"Мне уже писят, но я поржал от души, спасибо )) рад шо молодеж не такая тупая как про нее показыват в кино , ахахах"
507,"Они не хотели уничтожать человечество. Они хотели забрать яблоко и возродить свой мир, а человечество решила уничтожить ток 1 сестра предав 2-х других"
508,"Бутчер все разрулит... Одному пня, второй на кукан, а остальных спать"
509,"Дэээвид- ""это безопасно, уверяю"";   Будто его мама всю жизнь будила битой по голове"
510,Это же на сколько все стало печально что слова великого в.уайлдера кажутся уже классикой 
511,"А прикольно задуматься, что вот этот «кино» и бпс в одной вселенной как бы "
